LED	LTST-C193KRKT-5A	unknown	0603	Digikey	160-1830-1-ND
LED	LTST-C193KSKT-5A	unknown	0603	Digikey	160-1831-1-ND
LED	LTST-C193KGKT-5A	unknown	0603	Digikey	160-1828-1-ND
LED	LTST-C193TBKT-5A	unknown	0603	Digikey	160-1827-1-ND
DAC	AD5328ARUZ	unknown	TSSOP16	Digikey	AD5328ARUZ-REEL7CT-ND
ADC	AD7984BRMZ	unknown	MSOP10	Digikey	AD7984BRMZ-ND
CAPACITOR	0.01uF	10WVDC X7R	0603	Digikey	399-17570-1-ND
CAPACITOR	0.022uF	500WVDC	1210	Digikey	399-7101-1-ND
CAPACITOR	0.1uF	10WVDC X7R	0603	Digikey	399-5343-1-ND
CAPACITOR	0.1uF	50WVDC X7R	0805	Digikey	399-1170-1-ND
CAPACITOR	100pF	50WVDC 5% NP0	0603	Digikey	399-6345-1-ND
CAPACITOR	10pF	25WVDC NP0	0603	Digikey	399-14474-1-ND
CAPACITOR	10uF	10WVDC X7R	0805	Digikey	399-7411-1-ND
CAPACITOR	120pF	50WVDC 5% NP0	0603	Digikey	399-1062-1-ND
CAPACITOR	1300pF	50WVDC 5% NP0	0603	Digikey	399-15364-1-ND
CAPACITOR	15pF	25WVDC C0G	0603	Digikey	478-10804-1-ND
CAPACITOR	1nF	25WVDC C0G	0603	Digikey	399-7830-1-ND
CAPACITOR	1uF	10WVDC X7R	0805	Digikey	399-1172-1-ND
CAPACITOR	22nF	500WVDC X7R	1210	Digikey	399-16748-1-ND
CAPACITOR	22nF	50WVDC X7R	0603	Digikey	399-1280-1-ND
CAPACITOR	22pF	50WVDC 5% NP0	0603	Digikey	399-17608-1-ND
CAPACITOR	270pF	50WVDC 5% NP0	0603	Digikey	399-15934-1-ND
CAPACITOR	2.7nF	25WVDC C0G	0603	Digikey	399-11148-1-ND
CAPACITOR	2.7pF	25WVDC C0G	0603	Digikey	399-6878-1-ND
CAPACITOR	2pF	25WVDC C0G	0603	Digikey	399-1047-1-ND
CAPACITOR	3.3nF	50WVDC 5% NP0	0603	Digikey	399-7900-1-ND
CAPACITOR	390pF	50WVDC 5% NP0	0603	Digikey	399-1069-1-ND
CAPACITOR	39pF	50WVDC 5% NP0	0603	Digikey	399-7911-1-ND
CAPACITOR	4.3nF	50WVDC 5% NP0	0603	Digikey	399-9973-1-ND
CAPACITOR	4.7pF	250WVDC NP0	0603	Digikey	399-8816-1-ND
CAPACITOR	4.7uF	10WVDC X7R	1812	Digikey	445-7906-1-ND
CAPACITOR	620pF	50WVDC C0G	0603	Digikey	399-3288-1-ND
CAPACITOR	6.2nF	50WVDC 5% NP0	0603	Digikey	399-9977-1-ND
CAPACITOR	750pF	50WVDC 5% NP0	0603	Digikey	399-3290-1-ND
CAPACITOR	7.5nF	10WVDC X7R	0603	Digikey	399-9980-1-ND
CAPACITOR	9.1nF	25WVDC 5% NP0	0603	Digikey	399-9982-1-ND
CONNECTOR	unknown	onboard	SMA	Digikey	ACX1232-ND
CONNECTOR	unknown	unknown	SMA	none	Do not populate
DUAL-SPDT	DG403BDY	unknown	SO16	Digikey	DG403DY-T1-E3CT-ND
DIODE	1N914UR	N/A	DO213AA	Digikey	1N914UR-ND
Dual_comparator	LT1715	N/A	MSOP10	Digikey	LT1715IMS#TRPBFCT-ND
DUAL_OPAMP	ADA4805-2ARMZ	N/A	MSOP8	Digikey	ADA4805-2TRMZ-EP-ND
CHOKE	1uH	unknown	2520	Digikey	587-3225-1-ND
EMI chip	Fair-Rite 2773021446	unknown	non-std 3mm x 9.6mm	Digikey	1934-1488-1-ND
FPGA	A3PE3000-FGG484	unknown	FG484	Digikey	1100-1038-ND
HEADER10	unknown	unknown	HEADER10	Digikey	S9169-ND
HEADER26	unknown	unknown	HEADER26	Digikey	S9173-ND
HEADER4	unknown	unknown	HEADER4	Digikey	609-3527-ND
HEADER6	unknown	unknown	HEADER6	Digikey	732-5394-ND
JUMPERS3	unknown	unknown	HEADER6	Digikey	609-3234-ND
HEADER8	unknown	unknown	HEADER8	Digikey	732-5395-ND
HEADER20	HEADER20	unknown	HEADER20	Digikey	S9172-ND
HEADER50	HEADER50	unknown	HEADER50	Digikey	S9176-ND
Hexapath	HPH1-1400L	unknown	HP1	Coilcraft	HPH1-1400L
MUX8	MAX308CSE+	unknown	SO16	Digikey	MAX308CSE+TCT-ND
MDM9	MDM-9SCBRM7	unknown	MDM9S	Digikey	1003-1258-ND
MDM9P	unknown	unknown	MDM9P	Digikey	1003-1276-ND
NPN_TRANSISTOR	MMBT2222A	unknown	SOT23	Digikey	MMBT2222A-FDICT-ND
OPAMP	AD829AR	N/A	SO8	Digikey	AD829ARZ-REEL7CT-ND
OSC	KC2016Z50.0000C15XXK	unknown	KC2016	Digikey	478-KC2016Z50.0000C15XXKCT-ND
PNP_TRANSISTOR	MMBTA92	unknown	SOT23	Digikey	1727-5050-1-ND
PMOS-SO8	SI4421DY	unknown	SO8	Digikey	SI4421DY-T1-E3CT-ND
POLARIZED_CAPACITOR	10uF	10WVDC	0805	Digikey	478-9013-1-ND
POLARIZED_CAPACITOR	47uF	16WVDC	2312	Digikey	478-1773-1-ND
REFERENCE	REF43GS	N/A	SO8	Digikey	REF43GSZ-REELCT-ND
RESISTOR	0.2	1% 1/10W	0805	Digikey	P19315CT-ND
RESISTOR	100	1% 1/10W	0603	Digikey	311-100HRCT-ND
RESISTOR	10	1% 1/10W	0603	Digikey	311-10.0HRCT-ND
RESISTOR	1.0k	1% 1/10W	0603	Digikey	311-1.00KHRCT-ND
RESISTOR	10k	1% 1/10W	0603	Digikey	311-10.0KHRCT-ND
RESISTOR	10Meg	1% 1/10W	2010	Digikey	CHV2010-FX-1005ELFCT-ND
RESISTOR	1	1% 1/10W	0603	Digikey	311-1.00HRCT-ND
RESISTOR	1.1k	1% 1/10W	0603	Digikey	311-1.10KHRCT-ND
RESISTOR	130k	1% 1/10W	0603	Digikey	311-130KHRCT-ND
RESISTOR	133k	1% 1/10W	0603	Digikey	311-133KHRCT-ND
RESISTOR	140	1% 1/10W	0603	Digikey	311-140HRCT-ND
RESISTOR	14.7k	1% 1/10W	0603	Digikey	311-14.7KHRCT-ND
RESISTOR	1.4k	1% 1/10W	0603	Digikey	311-1.40KHRCT-ND
RESISTOR	1.5	1% 1/10W	0603	Digikey	RMCF0603FT1R50CT-ND
RESISTOR	15	1% 1/10W	0603	Digikey	RMCF0603FT15R0CT-ND
RESISTOR	165	1% 1/10W	0603	Digikey	311-165HRCT-ND
RESISTOR	169	1% 1/4W	1206	Digikey	311-169FRCT-ND
RESISTOR	18	1% 1/10W	0603	Digikey	311-18.0HRCT-ND
RESISTOR	182	1% 1/10W	0603	Digikey	311-182HRCT-ND
RESISTOR	18.2k	1% 1/10W	0603	Digikey	311-18.2KHRCT-ND
RESISTOR	1.96k	1% 1/10W	0603	Digikey	311-1.96KHRCT-ND
RESISTOR	200	1% 1/10W	0603	Digikey	311-200HRCT-ND
RESISTOR	20	1% 1/10W	0603	Digikey	311-20.0HRCT-ND
RESISTOR	22.1	1% 1/10W	0603	Digikey	311-22.1HRCT-ND
RESISTOR	221	1% 1/10W	0603	Digikey	311-221HRCT-ND
RESISTOR	23.7k	1% 1/10W	0603	Digikey	311-23.7KHRCT-ND
RESISTOR	2.49k	1% 1/10W	0603	Digikey	311-2.49KHRCT-ND
RESISTOR	2k	1% 1/10W	0603	Digikey	311-2.00KHRCT-ND
RESISTOR	20k	1% 1/10W	0603	Digikey	311-20.0KHRCT-ND
RESISTOR	3.01k	1% 1/10W	0603	Digikey	311-3.01KHRCT-ND
RESISTOR	30.1k	1% 1/10W	0603	Digikey	311-30.1KHRCT-ND
RESISTOR	340	1% 1/10W	0603	Digikey	311-340HRCT-ND
RESISTOR	45.3k	1% 1/10W	0603	Digikey	311-45.3KHRCT-ND
RESISTOR	46.4	1% 1/10W	0603	Digikey	311-46.4HRCT-ND
RESISTOR	4.75k	1% 1/10W	0603	Digikey	311-4.75KHRCT-ND
RESISTOR	4.99	1% 1/10W	0603	Digikey	311-4.99HRCT-ND
RESISTOR	49.9	1% 1/10W	0603	Digikey	311-49.9HRCT-ND
RESISTOR	499	1% 1/10W	0603	Digikey	311-499HRCT-ND
RESISTOR	4.99k	1% 1/10W	0603	Digikey	311-4.99KHRCT-ND
RESISTOR	51.1	1% 1/10W	0603	Digikey	311-51.1HRCT-ND
RESISTOR	511	1% 1/10W	0603	Digikey	311-511HRCT-ND
RESISTOR	5.11k	1% 1/10W	0603	Digikey	311-5.11KHRCT-ND
RESISTOR	5.1	5% 1W	2512	Digikey	541-5.1XCT-ND
RESISTOR	61.9	1% 1/10W	0603	Digikey	311-61.9HRCT-ND
RESISTOR	6.65k	1% 1/10W	0603	Digikey	311-6.65KHRCT-ND
RESISTOR	698	1% 1/10W	0603	Digikey	311-698HRCT-ND
RESISTOR	75k	1% 1/10W	0603	Digikey	311-75.0KHRCT-ND
RESISTOR	806	1% 1/10W	0603	Digikey	311-806HRCT-ND
RESISTOR	8.06k	1% 1/10W	0603	Digikey	311-8.06KHRCT-ND
SDD	N/A	N/A	AMPTEK12	Digikey	1401-0-15-80-30-27-10-0-ND	12 individual pins for SDD socket
TESTPOINT	Keystone 5016	unknown	5016	Digikey	36-5016CT-ND
NMOS_TRANSISTOR	SSM3K345R	unknown	SOT23	Digikey	SSM3K345RLFCT-ND
# Added for LEXA MPU spin 3
CAPACITOR	62pF	50WVDC 5% NP0	0603	Digikey	490-1346-1-ND
CAPACITOR	20pF	50WVDC 5% NP0	0603	Digikey	490-1410-1-ND
CAPACITOR	130pF	50WVDC 5% NP0	0603	Digikey	490-1430-1-ND
CAPACITOR	11pF	50WVDC 5% NP0	0603	Digikey	490-1404-1-ND
CAPACITOR	68pF	50WVDC 5% NP0	0603	Digikey	399-16000-1-ND
CAPACITOR	300pF	50WVDC 5% NP0	0603	Digikey	399-C0603C301J5GACAUTOCT-ND
CAPACITOR	200pF	50WVDC 5% NP0	0603	Digikey	490-1434-1-ND
CAPACITOR	200pF	50WVDC 5% NP0	0603	Digikey	490-1434-1-ND
CAPACITOR	10nF	50WVDC 5% NP0	0603	Digikey	445-6916-1-ND
RESISTOR	40.2	1% 1/10W	0603	Digikey	P40.2HCT-ND
RESISTOR	3.32k	1% 1/10W	0603	Digikey	RMCF0603FT3K32CT-ND
RESISTOR	249k	1% 1/10W	0603	Digikey	RMCF0603FT249KCT-ND
RESISTOR	243k	1% 1/10W	0603	Digikey	RMCF0603FT243KCT-ND
RESISTOR	100k	1% 1/10W	0603	Digikey	RMCF0603FT100KCT-ND
RESISTOR	332	1% 1/10W	0603	Digikey	RMCF0603FT332RCT-ND
RESISTOR	249	1% 1/10W	0603	Digikey	RMCF0603FT249RCT-ND
RESISTOR	44.2k	1% 1/10W	0603	Digikey	RMCF0603FT44K2CT-ND
MAX3490EESA	unknown	unknown	SO8	Digikey	MAX3490EESA+-ND
